table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,タウン入口,,,タウン入口
stops,stop_name,en,Town-iriguchi,,,タウン入口
stops,stop_name,ja-Hrkt,たうんいりぐち,,,タウン入口
stops,stop_name,ja,タウン東,,,タウン東
stops,stop_name,en,Town-higashi,,,タウン東
stops,stop_name,ja-Hrkt,たうんひがし,,,タウン東
stops,stop_name,ja,バイパス大谷,,,バイパス大谷
stops,stop_name,en,Bypass-Oya,,,バイパス大谷
stops,stop_name,ja-Hrkt,ばいぱすおおや,,,バイパス大谷
stops,stop_name,ja,ファーマーズセンター,,,ファーマーズセンター
stops,stop_name,en,Farmers Center,,,ファーマーズセンター
stops,stop_name,ja-Hrkt,ふぁーまーずせんたー,,,ファーマーズセンター
stops,stop_name,ja,フレッシュランド西多摩,,,フレッシュランド西多摩
stops,stop_name,en,Fresh-Land Nishitama,,,フレッシュランド西多摩
stops,stop_name,ja-Hrkt,ふれっしゅらんどにしたま,,,フレッシュランド西多摩
stops,stop_name,ja,ホーメストタウン,,,ホーメストタウン
stops,stop_name,en,Homest  Town,,,ホーメストタウン
stops,stop_name,ja-Hrkt,ほーめすとたうん,,,ホーメストタウン
stops,stop_name,ja,ホーメストタウン北,,,ホーメストタウン北
stops,stop_name,en,Homest  Town-kita,,,ホーメストタウン北
stops,stop_name,ja-Hrkt,ほーめすとたうんきた,,,ホーメストタウン北
stops,stop_name,ja,一の護王下,,,一の護王下
stops,stop_name,en,Ichinogo-shita,,,一の護王下
stops,stop_name,ja-Hrkt,いちのごおうした,,,一の護王下
stops,stop_name,ja,一原,,,一原
stops,stop_name,en,Ichihara,,,一原
stops,stop_name,ja-Hrkt,いちはら,,,一原
stops,stop_name,ja,一峰院,,,一峰院
stops,stop_name,en,Ippoin-Temple,,,一峰院
stops,stop_name,ja-Hrkt,いっぽういん,,,一峰院
stops,stop_name,ja,一本松,,,一本松
stops,stop_name,en,Ippommatsu,,,一本松
stops,stop_name,ja-Hrkt,いっぽんまつ,,,一本松
stops,stop_name,ja,七日市場,,,七日市場
stops,stop_name,en,Nanokaichiba,,,七日市場
stops,stop_name,ja-Hrkt,なのかいちば,,,七日市場
stops,stop_name,ja,万場坂,,,万場坂
stops,stop_name,en,Bamba-zaka,,,万場坂
stops,stop_name,ja-Hrkt,ばんばざか,,,万場坂
stops,stop_name,ja,三つ合,,,三つ合
stops,stop_name,en,Mitsugo,,,三つ合
